,n_spots,n_spots_sig,n_spots_sig_pval
VIM_CD44,174878,19473,79575
PTPRM_PTPRM,35997,6294,16952
LTB_CD40,29664,5395,13845
B2M_CD1A,20695,4879,17158
CD38_PECAM1,31912,4599,12364
PECAM1_CD38,31912,4582,12221
LGALS1_PTPRC,81067,4036,13016
TIMP1_CD63,161191,4001,18590
CXCL12_CD4,103615,3919,17634
CD44_SELE,54111,3362,11954
SELE_CD44,54111,3334,11742
CXCL12_CXCR4,74385,3304,15324
CXCL12_ITGB1,136674,2369,10569
LGALS1_CD69,36323,2354,9278
NCAM1_FGFR1,13554,2040,8090
CD14_ITGB1,115030,2002,7869
ADAM12_ITGA9,50057,1792,8639
CD274_CD80,2844,1750,2711
CD80_CD274,2844,1747,2717
MYL9_CD69,37516,1591,7309
BSG_SELE,46981,1583,5416
CD80_CTLA4,3220,1529,3010
LGALS1_ITGB1,126520,1456,6573
WNT5A_FZD3,18604,1306,5682
FGF17_FGFR1,6019,1243,4413
SFRP2_FZD5,23545,1202,5268
WNT5A_FZD5,16810,1188,4879
ADAM12_ITGB1,110055,1049,4755
LGALS3_LAG3,31727,977,5081
SNCA_LAG3,7071,963,3922
FGF17_FGFR3,2533,869,2112
FBLN1_ITGB1,137746,777,5247
FGF5_FGFR3,2007,776,1812
CDH1_PTPRM,53116,762,3530
FGF5_FGFR1,3230,757,2588
FGF17_FGFR2,2170,634,1788
LGALS3BP_ITGB1,120241,559,2382
PDCD1LG2_PDCD1,1558,515,1437
FGF5_FGFR2,1493,509,1332
CD274_PDCD1,849,430,820
